"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jan 05 18:08:49 GMT 2025","Sun Jan 05 18:09:02 GMT 2025","12815","tests","test_failure_screenshot","","","","Авторизация на странице Login Page","
    Цель: Проверить обработку упавших тестов

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть кнопку ""Login""
        6. Проверить, что отображается сообщение об успешной авторизации

    Ожидаемый результат:
        - Авторизация прошла успешно
        - Отображается сообщение об успешной авторизации"
"skipped","Sun Jan 05 18:08:53 GMT 2025","Sun Jan 05 18:08:54 GMT 2025","1489","tests","test_failure_screenshot","","","","Авторизация на странице Registration Page","
    Цель: Проверить обработку упавших тестов

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Нажать на кнопку ""SUBMIT""
        3. Проверить отсутствие сообщений об ошибках

    Ожидаемый результат:
        - Нет сообщений о некорректном вводе данных"
"passed","Sun Jan 05 18:09:07 GMT 2025","Sun Jan 05 18:09:10 GMT 2025","2687","tests","test_menu_when_scrolling","","","","Проверка поведения основного меню","
    Цель: Проверка поведения основного меню в шапке при скроллинге

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть домашнюю страницу
        2. Прокрутить страницу до блока ""Footer""
        3. Проверить, что основные пункты меню отображаются и кликабельны

    Ожидаемый результат:
        - Все основные пункты меню отображаются и кликабельны"
"passed","Sun Jan 05 18:08:50 GMT 2025","Sun Jan 05 18:08:52 GMT 2025","2060","tests","test_home_page","","","","Загрузка главной страницы","
    Цель: Проверка открытия страницы

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть домашнюю страницу
        2. Проверить значение ""TITLE""
        3. Проверить корректность отображения элементов страницы

    Ожидаемый результат:
        - Значение ""TITLE"" соответствует главной странице
        - Элементы, уникальные для этой страницы, активны"
"passed","Sun Jan 05 18:08:54 GMT 2025","Sun Jan 05 18:08:56 GMT 2025","2115","tests","test_home_page","","","","Загрузка блока с сертификацией","
    Цель: Проверка блока с сертификацией

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть домашнюю страницу
        2. Проверить заголовки элементов блока
        3. Проверить ссылки ""Read More"" элементов блока

    Ожидаемый результат:
        - Заголовок каждого элемента блока корректен
        - Ссылка кнопки ""Read More"" каждого блока корректна"
"passed","Sun Jan 05 18:08:51 GMT 2025","Sun Jan 05 18:08:53 GMT 2025","2296","tests","test_home_page","","","","Загрузка Header","
    Цель: Проверка данных в Header

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть домашнюю страницу
        2. Проверить корректность отображения контактов
        3. Проверить корректность контактных данных

    Ожидаемый результат:
        - Номера телефонов и ссылки для связи кликабельны
        - Контактные номера и ссылки для связи корректны"
"passed","Sun Jan 05 18:09:03 GMT 2025","Sun Jan 05 18:09:06 GMT 2025","2533","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить, что отображаются сообщения о некорректном вводе

    Ожидаемый результат:
        - Отображаются соответствующие сообщения об ошибке
        - Кнопка ""Login"" не активна"
"passed","Sun Jan 05 18:09:07 GMT 2025","Sun Jan 05 18:09:11 GMT 2025","4429","tests","test_menu_redirect","","","","Переход по меню на другие страницы","
    Цель: Проверка перехода по меню на другие страницы

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть домашнюю страницу
        2. Навести курсор на вкладку меню ""All Courses""
        3. Кликнуть пункт ""Appium""
        4. Кликнуть пункт ""Appium with Python""
        5. Проверить переход на страницу
        6. Проверить значение ""TITLE""
        7. Проверить корректность отображения элементов страницы

    Ожидаемый результат:
        - Происходит переход на страницу
        - Значение ""TITLE"" соответствует странице
        - Элементы, уникальные для этой страницы, активны"
"skipped","Sun Jan 05 18:08:52 GMT 2025","Sun Jan 05 18:08:52 GMT 2025","0","tests","test_auth_cookies","","","","Авторизация на странице SQL exercises","
    Цель: Авторизация и сохранение cookies в файл

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Проверить, что доступны поля авторизации
        3. Ввести данные в поле ""Username""
        4. Ввести данные в поле ""Password""
        5. Кликнуть кнопку ""Enter""
        6. Проверить, что авторизация прошла под именем ""guest""
        7. Сохранить cookies в файл
        8. Кликнуть кнопку ""logout""
        9. Проверить, что доступны поля авторизации
        10. Проверить, что файл с cookies создан

    Ожидаемый результат:
        - Авторизация прошла успешно
        - Файл с cookies создан"
"passed","Sun Jan 05 18:09:04 GMT 2025","Sun Jan 05 18:09:07 GMT 2025","2908","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить, что отображаются сообщения о некорректном вводе

    Ожидаемый результат:
        - Отображаются соответствующие сообщения об ошибке
        - Кнопка ""Login"" не активна"
